日期,成交股數,成交金額,成交筆數,發行量加權股價指數,漲跌點數
 96/12/20,3587727249,89628404656,766353,7857.08,-157.23
 96/12/21,4033998876,100907004277,798087,7941.44,84.36
 96/12/24,3160387338,82356849387,646989,8135.48,194.04
 96/12/25,3360135743,75185320105,674258,8167.07,31.59
 96/12/26,2875704743,64924555852,599718,8156.39,-10.68
 96/12/27,4373200967,113375512450,885784,8313.72,157.33
 96/12/28,4345636991,115422296582,883043,8396.95,83.23
 96/12/31,3622224059,83662905478,700832,8506.28,109.33
 97/01/02,4383717998,110901255579,924182,8323.05,-183.23
 97/01/03,3666870273,105644776041,798191,8184.2,-138.85
 97/01/04,4633430295,127500653060,954466,8221.1,36.9
 97/01/07,4550021743,133942975789,922124,7883.37,-337.73
 97/01/08,4638556796,131824864502,914519,7962.91,79.54
 97/01/09,4693203299,150161228836,1025276,8085.06,122.15
 97/01/10,4499922672,135061342641,979241,8057.27,-27.79
 97/01/11,3940124190,110233754312,826850,8029.31,-27.96
 97/01/14,6124238775,168808736761,1067634,8173.41,144.1
 97/01/15,7573033144,211361109308,1390551,8428.84,255.43
 97/01/16,7662891367,229631140308,1419763,8179.54,-249.3
 97/01/17,6407511033,170378867510,1220049,8101.63,-77.91
 97/01/18,6002099408,166499856815,1163200,8184.65,83.02
 97/01/21,5532225790,142520763223,1034784,8110.2,-74.45
 97/01/22,4682260991,134837308489,934678,7581.96,-528.24
 97/01/23,5705438157,162396573353,1170805,7408.4,-173.56
 97/01/24,5346239604,144927818672,1088802,7517.05,108.65
 97/01/25,4668990499,118948565002,918207,7739.59,222.54
 97/01/28,4281512729,116312806175,810969,7485.79,-253.8
 97/01/29,3877873642,96378973769,835611,7576.42,90.63
 97/01/30,4069222997,111506406806,882561,7543.5,-32.92
 97/01/31,4354317463,124665398209,904460,7521.13,-22.37
 97/02/01,4137722324,123670231647,933433,7673.99,152.86
 97/02/12,3819564232,113961881379,835793,7553.3,-120.69
 97/02/13,3600828133,101094921761,832617,7550.55,-2.75
 97/02/14,4402490026,120628534068,884149,7865.28,314.73
 97/02/15,3894874739,108550076417,884994,7876.37,11.09
 97/02/18,4054184147,103811488089,884317,7890.9,14.53
 97/02/19,4519992908,121625919821,1035550,8024.41,133.51
 97/02/20,4220898187,117606880364,971064,7894.47,-129.94
 97/02/21,4604461383,120933659247,976571,8085.93,191.46
 97/02/22,4938633957,131814763138,1041672,8108.71,22.78
 97/02/25,6345926080,166131696445,1254422,8286.31,177.6
 97/02/26,6434323524,176041705868,1337883,8307.67,21.36
 97/02/27,6426916308,177973471995,1261968,8462.08,154.41
 97/02/29,5943614990,167446104710,1193191,8412.76,-49.32
 97/03/03,5385933946,135203312863,1114327,8262.87,-149.89
 97/03/04,6172133026,166043727766,1256613,8470.11,207.24
 97/03/05,6406461433,173891170551,1328364,8483.95,13.84
 97/03/06,6656941369,189635540606,1427038,8658.64,174.69
 97/03/07,6202989466,175628711302,1341154,8531.38,-127.26
 97/03/10,5140646551,146444637660,1104684,8299.37,-232.01
 97/03/11,4802919997,127669898187,996404,8381.6,82.23
 97/03/12,5246809542,147464003305,1133340,8435.3,53.7
 97/03/13,4270903460,112295463938,970915,8210.99,-224.31
 97/03/14,4579499794,109815378732,951622,8161.39,-49.6
 97/03/17,4604790798,118588301050,936381,8005.46,-155.93
 97/03/18,4125332628,102650645920,841015,8057.82,52.36
 97/03/19,4846936301,123257826604,974657,8179.35,121.53
 97/03/20,5536206250,146542867613,1075440,8337.62,158.27
 97/03/21,6495413633,172708310446,1275839,8524.99,187.37
 97/03/24,8726549607,271848350215,1543742,8865.35,340.36
 97/03/25,6934963957,202713908571,1423098,8795.09,-70.26
 97/03/26,6957893181,184104152462,1334242,8768.02,-27.07
 97/03/27,6152043412,162779576416,1214056,8605.95,-162.07
 97/03/28,5476299499,156013701788,1092199,8623.48,17.53
 97/03/31,5004566038,139679939393,1033675,8572.59,-50.89
 97/04/01,5077899021,132390510369,1089303,8419.72,-152.87
